task,category,condition,agent_id,n_files,core_recall,precision,f1,judge,Q,confidence,cost_usd,turns,n_calls,out_tok,doc_chars,files_read
F4,feature,C1,a4aa72de8f0453ec5,4,1.0,0.75,0.857,8,0.89,4,0.1416,7,8,4131,7589,1
F4,feature,C1,ae7b951ce6275ab13,5,1.0,0.8,0.889,9,0.93,5,0.1547,7,9,3209,7761,2
F4,feature,M-playbook,a5e2f4da5939b3104,4,1.0,1.0,1.0,9,0.97,5,0.1343,8,8,2345,13750,1
F4,feature,M-playbook,ad5dfb45903fcc97a,3,1.0,1.0,1.0,8,0.94,5,0.1514,7,9,2475,13750,1
F4,feature,C0,a820e92772e8eda59,3,1.0,1.0,1.0,8,0.94,5,0.0883,5,7,1182,0,1
F4,feature,C0,a9a3983bb601a86a6,3,1.0,1.0,1.0,8,0.94,5,0.1025,6,9,2551,0,1
F4,feature,M-symbols,ac953536a73c75482,3,1.0,1.0,1.0,8,0.94,4,0.1125,6,7,2883,22917,1
F4,feature,M-symbols,ae8eeed6c3e600271,4,1.0,1.0,1.0,9,0.97,5,0.1735,6,8,2529,22917,1
B1,bugfix,M-playbook,a04d048ea06385044,8,0.833,1.0,0.909,8,0.857,4,0.6161,18,25,14146,13750,7
B1,bugfix,M-playbook,a7d2d52ed42568dd2,8,0.833,1.0,0.909,8,0.857,4,0.7126,24,27,13925,13750,8
B1,bugfix,M-symbols,a083446644145c96d,11,0.833,0.909,0.87,8,0.838,4,0.6706,18,27,15337,22917,7
B1,bugfix,M-symbols,a31f1087817520902,8,0.833,1.0,0.909,8,0.857,4,0.6561,14,21,17769,22917,8
B1,bugfix,M-folder,a0dff0e5b4e7ce245,10,0.667,0.8,0.727,7,0.703,4,0.514,12,22,14436,19487,6
B1,bugfix,M-folder,a67ebd3dfe7b365e7,8,0.833,1.0,0.909,8,0.857,4,0.5369,17,28,15148,19487,6
B1,bugfix,C0,a623658a97788a85a,8,0.833,1.0,0.909,8,0.857,4,0.7897,23,37,19763,0,7
B1,bugfix,C0,afe5d14483e6ed07c,7,0.833,1.0,0.909,8,0.857,4,0.6014,20,32,12878,0,5
B1,bugfix,C1,a68b3ddb0b0cfefd5,8,0.5,0.625,0.556,6,0.555,4,0.7037,20,32,17412,11130,4
B1,bugfix,C1,aa879d20da35f026e,8,0.667,0.875,0.757,7,0.718,4,0.7931,29,43,19231,11788,5
B1,bugfix,M-feature,aa932cf014f1c1b65,8,0.833,1.0,0.909,9,0.887,4,0.681,18,25,17264,19638,7
B1,bugfix,M-feature,af0b8bc0440ef2e62,10,0.833,1.0,0.909,8,0.857,4,0.6722,20,26,15980,19638,7
B2,bugfix,M-playbook,a09c0a6178e7f8239,8,1.0,0.75,0.857,6,0.83,4,0.5323,20,20,9188,13750,3
B2,bugfix,M-playbook,aea5f544232e142d8,8,1.0,0.875,0.933,7,0.885,4,0.6149,20,21,13736,13750,4
B2,bugfix,M-symbols,a2caa05c862d5d9ac,6,1.0,0.833,0.909,6,0.847,4,0.4972,11,13,11967,22917,4
B2,bugfix,M-symbols,a4369425a3c4e3800,6,1.0,1.0,1.0,6,0.88,4,0.5783,21,21,13299,22917,3
B2,bugfix,C1,a65b23075cc9e8eef,8,1.0,0.75,0.857,6,0.83,4,0.7622,22,30,14505,14964,4
B2,bugfix,C1,acc3a4b6da289889e,7,1.0,0.714,0.833,6,0.823,4,0.6602,16,23,15898,13252,5
B2,bugfix,M-feature,a6e17f2b6c3b8d4c2,6,1.0,0.833,0.909,9,0.937,4,0.4009,14,14,6880,19638,4
B2,bugfix,M-feature,a766e9efb87374bf6,6,1.0,0.833,0.909,6,0.847,4,0.5294,11,16,13872,19638,4
B2,bugfix,C0,a95601b2d419951fc,5,1.0,1.0,1.0,8,0.94,4,0.598,17,25,14628,0,5
B2,bugfix,C0,a9b18875984df89e4,6,1.0,1.0,1.0,6,0.88,4,0.6274,12,14,15815,0,5
B2,bugfix,M-folder,abf41d2db5291e937,6,1.0,0.833,0.909,6,0.847,4,0.42,11,13,9049,19487,5
B2,bugfix,M-folder,acbc5bfaf016b0e64,5,1.0,1.0,1.0,7,0.91,4,0.5532,9,12,11384,19487,3
P4,perf,M-symbols,a17bf22c2f0cae2e0,9,1.0,1.0,1.0,9,0.97,4,0.5841,10,16,12157,22917,4
P4,perf,M-symbols,a5d573129fdfbdf90,7,1.0,1.0,1.0,9,0.97,4,0.6733,20,26,12183,22917,5
P4,perf,M-playbook,a21733cf07efa34f7,9,1.0,0.889,0.941,9,0.948,4,0.5384,17,21,13815,13750,4
P4,perf,M-playbook,a6a0befc1966b1f54,7,0.8,1.0,0.889,7,0.81,4,0.4265,14,20,10576,13750,3
P4,perf,M-feature,a2ed89b23c5f58e89,8,1.0,0.625,0.769,6,0.805,5,0.466,8,11,6890,19638,4
P4,perf,M-feature,a4dc9144a005d8aa2,8,1.0,1.0,1.0,9,0.97,4,0.4538,12,17,10886,19638,3
P4,perf,M-folder,a66b637f485394695,9,1.0,0.889,0.941,9,0.948,4,0.4364,7,14,8624,19487,6
P4,perf,M-folder,a6ddd12385b586fe5,8,1.0,1.0,1.0,9,0.97,4,0.5992,11,15,10867,19487,5
P4,perf,C1,a6a4580175c29dddc,11,1.0,0.727,0.842,9,0.915,4,0.6228,15,21,17493,12323,3
P4,perf,C1,a6f420a38a2203f18,8,1.0,0.625,0.769,9,0.895,4,0.6853,26,30,14673,13031,4
P4,perf,C0,af4b542e4f4afc2cb,10,1.0,0.9,0.947,9,0.95,4,0.7077,12,19,14400,0,5
P4,perf,C0,af97685bfd932f903,6,0.8,1.0,0.889,7,0.81,4,0.5597,13,20,11399,0,5
B3,bugfix,M-playbook,a1f6dc139211b1bcc,10,1.0,0.6,0.75,6,0.8,4,1.3633,35,41,37041,13750,9
B3,bugfix,M-playbook,aa9de0da619dcaf56,10,1.0,0.9,0.947,8,0.92,3,0.8715,26,26,25534,13750,9
B3,bugfix,M-folder,a2133ef46ca0dc106,12,1.0,0.917,0.957,9,0.953,3,0.822,21,26,23047,19487,7
B3,bugfix,M-folder,af5eaedbadc7c1822,12,1.0,0.833,0.909,8,0.907,4,0.9683,30,30,23300,19487,10
B3,bugfix,M-feature,a42462ca9e12e2d87,10,1.0,1.0,1.0,8,0.94,4,0.9506,21,32,25819,19638,8
B3,bugfix,M-feature,a4f2957d88ad0e519,12,1.0,0.917,0.957,9,0.953,3,0.9901,24,30,26590,19638,10
B3,bugfix,C0,a88ae9d010e6945a6,12,1.0,0.917,0.957,9,0.953,3,0.7347,19,27,19010,0,6
B3,bugfix,C0,a9295d4f1d9560a63,12,1.0,0.833,0.909,9,0.937,3,0.9343,28,42,26897,0,9
B3,bugfix,M-symbols,aa7334f8c728cd339,9,1.0,1.0,1.0,8,0.94,3,1.1057,28,33,27140,22917,9
B3,bugfix,M-symbols,acd396bd5a6f4284f,11,1.0,0.909,0.952,8,0.922,3,0.7755,16,25,16423,22917,11
B3,bugfix,C1,aaa2006224594e921,12,1.0,0.833,0.909,8,0.907,3,0.9725,24,39,25726,14133,7
B3,bugfix,C1,ac3717c1c8d505a0a,11,1.0,0.818,0.9,9,0.934,3,0.8452,24,34,21876,23485,8
X6,feature,C1,a01c84e45562dfd57,6,1.0,1.0,1.0,9,0.97,5,0.3566,12,21,8049,14313,4
X6,feature,C1,af3549a59470a3c63,11,1.0,0.636,0.778,8,0.867,5,0.6995,22,28,16574,20891,6
X6,feature,M-playbook,a03516e856fd313a0,9,1.0,0.778,0.875,8,0.896,4,0.4567,12,19,10983,13750,6
X6,feature,M-playbook,a56902996d9cffd63,8,1.0,0.875,0.933,8,0.915,5,0.394,12,16,10687,13750,4
X6,feature,C0,a296e11f1440133ba,7,1.0,0.857,0.923,9,0.941,4,0.2591,9,12,3328,0,6
